Country_Code,Country,Number of endemic species with small occurrence regions (50x50),Number of species with an extinction threat probability greater than or equal to 80,Number of total species
ABW,Aruba,7.0,202.0,8656.0
AFG,Afghanistan,17.0,49.0,4667.0
AGO,Angola,89.0,73.0,7872.0
AIA,Anguilla,2.0,140.0,6097.0
ALB,Albania,31.0,165.0,16505.0
AND,Andorra,0.0,259.0,25302.0
ARE,United Arab Emirates,26.0,69.0,2925.0
ARG,Argentina,624.0,716.0,20209.0
ARM,Armenia,80.0,104.0,7423.0
ASM,American Samoa,15.0,46.0,1851.0
ATG,Antigua and Barbuda,4.0,157.0,6906.0
AUS,Australia,11533.0,5540.0,80856.0
AUT,Austria,221.0,806.0,40926.0
AZE,Azerbaijan,8.0,84.0,7789.0
BDI,Burundi,41.0,120.0,7300.0
BEL,Belgium,67.0,664.0,44232.0
BEN,Benin,70.0,117.0,8064.0
BES,Bonaire (Neth.),30.0,266.0,10084.0
BFA,Burkina Faso,6.0,43.0,5261.0
BGD,Bangladesh,14.0,89.0,7131.0
BGR,Bulgaria,49.0,164.0,16451.0
BHR,Bahrain,0.0,27.0,1950.0
BHS,"Bahamas, The",128.0,321.0,14798.0
BIH,Bosnia and Herzegovina,8.0,190.0,19806.0
BLM,Saint-Barth̩lemy (Fr.),1.0,138.0,5813.0
BLR,Belarus,1.0,204.0,18818.0
BLZ,Belize,106.0,269.0,18640.0
BMU,Bermuda,75.0,129.0,3715.0
BOL,Bolivia,648.0,455.0,22699.0
BRA,Brazil,5194.0,3031.0,59191.0
BRB,Barbados,13.0,72.0,4770.0
BRN,Brunei Darussalam,27.0,149.0,10079.0
BTN,Bhutan,50.0,112.0,7798.0
BWA,Botswana,42.0,78.0,8932.0
CAF,Central African Republic,15.0,31.0,5621.0
CAN,Canada,1452.0,2260.0,45433.0
CCK,Cocos (Keeling) Islands (Aus.),9.0,17.0,1412.0
CHE,Switzerland,107.0,884.0,41850.0
CHL,Chile,951.0,825.0,11566.0
CHN,China,2536.0,2084.0,48825.0
CIV,Cote d'Ivoire,58.0,84.0,7877.0
CMR,Cameroon,355.0,238.0,11183.0
COD,"Congo, Dem. Rep.",266.0,306.0,13566.0
COG,"Congo, Rep.",46.0,50.0,8101.0
COK,Cook Islands,23.0,27.0,1790.0
COL,Colombia,2436.0,2034.0,47834.0
COM,Comoros,47.0,56.0,5052.0
CPV,Cabo Verde,117.0,100.0,2499.0
CRI,Costa Rica,3621.0,2937.0,37811.0
CUB,Cuba,860.0,720.0,16331.0
CUW,Curacao,23.0,205.0,9077.0
CXR,Christmas Island,40.0,48.0,2650.0
CYM,Cayman Islands,42.0,207.0,9639.0
CYP,Cyprus,76.0,104.0,6827.0
CZE,Czechia,8.0,525.0,36133.0
DEU,Germany,300.0,1217.0,56172.0
DJI,Djibouti,5.0,22.0,2715.0
DMA,Dominica,33.0,257.0,7481.0
DNK,Denmark,90.0,775.0,44125.0
DOM,Dominican Republic,408.0,540.0,11302.0
DZA,Algeria,47.0,137.0,9943.0
ECU,Ecuador,1822.0,1445.0,32315.0
EGY,"Egypt, Arab Rep.",38.0,99.0,6415.0
ERI,Eritrea,0.0,31.0,3360.0
ESP,Spain,2150.0,2085.0,48625.0
EST,Estonia,61.0,602.0,29633.0
ETH,Ethiopia,144.0,101.0,6521.0
FIN,Finland,276.0,1001.0,37089.0
FJI,Fiji,278.0,79.0,4418.0
FRA,France,3500.0,3699.0,88726.0
FRO,Faroe Islands,18.0,77.0,3816.0
FSM,"Micronesia, Fed. Sts.",92.0,78.0,3959.0
GAB,Gabon,200.0,145.0,9364.0
GBR,United Kingdom,691.0,1067.0,44450.0
GEO,Georgia,62.0,146.0,10234.0
GGY,Guernsey,0.0,417.0,28217.0
GHA,Ghana,57.0,118.0,8483.0
GIN,Guinea,72.0,86.0,6803.0
GMB,"Gambia, The",13.0,25.0,3704.0
GNB,Guinea-Bissau,6.0,17.0,3814.0
GNQ,Equatorial Guinea,17.0,63.0,8610.0
GRC,Greece,713.0,495.0,20056.0
GRD,Grenada,6.0,138.0,7407.0
GRL,Greenland,42.0,78.0,2827.0
GTM,Guatemala,174.0,484.0,23068.0
GUM,Guam,70.0,97.0,3108.0
GUY,Guyana,205.0,343.0,15296.0
HKG,"Hong Kong SAR, China",42.0,249.0,9858.0
HMD,Heard Island and McDonald Islands,12.0,8.0,444.0
HND,Honduras,164.0,417.0,22423.0
HRV,Croatia,67.0,351.0,27472.0
HTI,Haiti,62.0,332.0,10357.0
HUN,Hungary,18.0,319.0,26682.0
IDN,Indonesia,1366.0,813.0,27489.0
IMN,Isle of Man,0.0,380.0,23773.0
IND,India,966.0,724.0,20793.0
IOT,British Indian Ocean Territory (UK),1.0,12.0,1386.0
IRL,Ireland,35.0,380.0,23758.0
IRN,"Iran, Islamic Rep.",197.0,178.0,9191.0
IRQ,Iraq,12.0,42.0,4157.0
ISL,Iceland,18.0,72.0,3369.0
ISR,Israel,105.0,242.0,7858.0
ITA,Italy,633.0,1364.0,50458.0
JAM,Jamaica,394.0,318.0,10488.0
JEY,Jersey,0.0,403.0,27213.0
JOR,Jordan,7.0,109.0,6669.0
JPN,Japan,2332.0,1719.0,29339.0
KAZ,Kazakhstan,77.0,172.0,10997.0
KEN,Kenya,315.0,432.0,13123.0
KGZ,Kyrgyz Republic,60.0,164.0,4974.0
KHM,Cambodia,46.0,125.0,11117.0
KIR,Kiribati,9.0,37.0,2541.0
KNA,St. Kitts and Nevis,2.0,170.0,6758.0
KOR,"Korea, Rep.",379.0,515.0,14101.0
KWT,Kuwait,9.0,25.0,1973.0
LAO,Lao PDR,100.0,209.0,14918.0
LBN,Lebanon,24.0,147.0,6380.0
LBR,Liberia,33.0,55.0,5719.0
LBY,Libya,1.0,33.0,3296.0
LCA,St. Lucia,10.0,135.0,6399.0
LIE,Liechtenstein,0.0,440.0,32971.0
LKA,Sri Lanka,575.0,275.0,7067.0
LSO,Lesotho,3.0,92.0,8879.0
LTU,Lithuania,4.0,320.0,23621.0
LUX,Luxembourg,25.0,438.0,35680.0
LVA,Latvia,15.0,454.0,26810.0
MAC,"Macao SAR, China",1.0,84.0,7851.0
MAF,St. Martin (French part),5.0,146.0,5903.0
MAR,Morocco,250.0,368.0,14578.0
MCO,Monaco,0.0,349.0,27515.0
MDA,Moldova,0.0,102.0,12332.0
MDG,Madagascar,2862.0,1416.0,15965.0
MDV,Maldives,20.0,27.0,2274.0
MEX,Mexico,5008.0,3330.0,66986.0
MHL,Marshall Islands,77.0,12.0,1996.0
MKD,North Macedonia,25.0,123.0,13912.0
MLI,Mali,7.0,25.0,4358.0
MLT,Malta,16.0,73.0,5818.0
MMR,Myanmar,86.0,359.0,20165.0
MNE,Montenegro,32.0,148.0,16049.0
MNG,Mongolia,26.0,53.0,5639.0
MNP,Northern Mariana Islands,21.0,107.0,2979.0
MOZ,Mozambique,169.0,246.0,15624.0
MRT,Mauritania,20.0,56.0,4216.0
MSR,Montserrat,8.0,163.0,6862.0
MUS,Mauritius,115.0,113.0,3912.0
MWI,Malawi,190.0,103.0,8977.0
MYS,Malaysia,1029.0,721.0,19662.0
NAM,Namibia,141.0,204.0,9584.0
NCL,New Caledonia,1750.0,667.0,12481.0
NER,Niger,1.0,21.0,4109.0
NFK,Norfolk Island (Aus.),106.0,117.0,3309.0
NGA,Nigeria,91.0,94.0,10366.0
NIC,Nicaragua,83.0,710.0,27797.0
NIU,Niue,6.0,10.0,1386.0
NLD,Netherlands,227.0,737.0,44198.0
NOR,Norway,469.0,1049.0,42514.0
NPL,Nepal,123.0,132.0,7830.0
NRU,Nauru,1.0,4.0,1119.0
NZL,New Zealand,2136.0,1505.0,18977.0
OMN,Oman,89.0,99.0,4322.0
PAK,Pakistan,118.0,138.0,6996.0
PAN,Panama,753.0,1401.0,32359.0
PCN,Pitcairn,22.0,13.0,725.0
PER,Peru,1262.0,1051.0,31935.0
PHL,Philippines,813.0,403.0,16960.0
PLW,Palau,124.0,73.0,4861.0
PNG,Papua New Guinea,1236.0,1000.0,18962.0
POL,Poland,24.0,477.0,36330.0
PRI,Puerto Rico,297.0,452.0,9549.0
PRK,"Korea, Dem. People's Rep.",0.0,177.0,9858.0
PRT,Portugal,691.0,784.0,25224.0
PRY,Paraguay,64.0,177.0,12475.0
PSE,West Bank and Gaza,7.0,128.0,6391.0
PYF,French Polynesia,634.0,253.0,4685.0
QAT,Qatar,2.0,32.0,2137.0
ROU,Romania,31.0,176.0,18891.0
RUS,Russian Federation,1136.0,1203.0,49961.0
RWA,Rwanda,32.0,149.0,7347.0
SAU,Saudi Arabia,78.0,110.0,6252.0
SDN,Sudan,20.0,37.0,4027.0
SEN,Senegal,62.0,43.0,4693.0
SGP,Singapore,139.0,186.0,8712.0
SGS,South Georgia and the South Sandwich Islands,0.0,29.0,903.0
SHN,"Saint Helena, Ascension and Tristan da Cunha (UK)",96.0,44.0,1220.0
SLB,Solomon Islands,130.0,66.0,6311.0
SLE,Sierra Leone,17.0,19.0,4524.0
SLV,El Salvador,23.0,212.0,15996.0
SMR,San Marino,0.0,213.0,17842.0
SOM,Somalia,53.0,62.0,4602.0
SPM,Saint-Pierre-et-Miquelon (Fr.),0.0,66.0,3647.0
SRB,Serbia,16.0,160.0,17185.0
SSD,South Sudan,0.0,18.0,4643.0
STP,Sao Tome and Principe,172.0,80.0,4574.0
SUR,Suriname,73.0,196.0,13996.0
SVK,Slovak Republic,38.0,313.0,26125.0
SVN,Slovenia,17.0,399.0,29265.0
SWE,Sweden,829.0,1426.0,50874.0
SWZ,Eswatini,20.0,100.0,10512.0
SXM,Sint Maarten (Dutch part),0.0,142.0,5755.0
SYC,Seychelles,171.0,94.0,4106.0
SYR,Syrian Arab Republic,55.0,177.0,7326.0
TCA,Turks and Caicos Islands,4.0,135.0,5889.0
TCD,Chad,1.0,17.0,3506.0
TGO,Togo,10.0,78.0,7814.0
THA,Thailand,648.0,517.0,19278.0
TJK,Tajikistan,47.0,60.0,4336.0
TKL,Tokelau (NZ),0.0,16.0,951.0
TKM,Turkmenistan,9.0,47.0,3581.0
TLS,Timor-Leste,10.0,58.0,6381.0
TON,Tonga,21.0,24.0,2123.0
TTO,Trinidad and Tobago,254.0,175.0,9029.0
TUN,Tunisia,62.0,133.0,7950.0
TUR,Turkiye,281.0,387.0,17868.0
TUV,Tuvalu,2.0,5.0,999.0
TZA,Tanzania,633.0,587.0,16752.0
UGA,Uganda,152.0,171.0,8879.0
UKR,Ukraine,154.0,309.0,22152.0
UMI,United States Minor Outlying Islands,7.0,97.0,1508.0
URY,Uruguay,33.0,89.0,6548.0
USA,United States,7812.0,6456.0,102900.0
UZB,Uzbekistan,47.0,110.0,4273.0
VCT,St. Vincent and the Grenadines,8.0,132.0,6748.0
VEN,"Venezuela, RB",771.0,797.0,29394.0
VGB,British Virgin Islands,12.0,190.0,7078.0
VIR,Virgin Islands (U.S.),19.0,218.0,7829.0
VNM,Viet Nam,411.0,450.0,18087.0
VUT,Vanuatu,232.0,119.0,6625.0
WLF,Wallis-et-Futuna (Fr.),18.0,37.0,1614.0
WSM,Samoa,69.0,62.0,1845.0
XKX,Kosovo,1.0,101.0,13458.0
YEM,"Yemen, Rep.",298.0,168.0,4319.0
ZAF,South Africa,4641.0,2697.0,32323.0
ZMB,Zambia,63.0,109.0,10098.0
ZWE,Zimbabwe,43.0,106.0,9760.0
